year,GEOID,NAME,variable,estimate,moe
2007,4748000,"Memphis city, Tennessee",B07012_022,621,421
2007,4748000,"Memphis city, Tennessee",B07012_023,795,916
2007,4748000,"Memphis city, Tennessee",B07012_024,1375,653
2008,4748000,"Memphis city, Tennessee",B07012_001,606232,10742
2008,4748000,"Memphis city, Tennessee",B07012_002,138469,11183
2008,4748000,"Memphis city, Tennessee",B07012_003,75349,8425
2008,4748000,"Memphis city, Tennessee",B07012_004,392414,14047
2008,4748000,"Memphis city, Tennessee",B07012_005,473044,12366
2008,4748000,"Memphis city, Tennessee",B07012_006,91771,9927
2008,4748000,"Memphis city, Tennessee",B07012_007,53773,7027
