PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090004  00034,1972,25,3,FR,Y,MEMPHIS
090004  00033,1972,25,3,FR,Y,MEMPHIS
090002  00210,1989,25,3,FR,Y,MEMPHIS
090004  00029,1972,25,3,AV,Y,MEMPHIS
090004  00028,1972,25,3,AV,Y,MEMPHIS
090004  00027,1972,25,3,FR,Y,MEMPHIS
090002  00221,1973,25,3,FR,Y,MEMPHIS
090004  00025,1972,25,3,FR,Y,MEMPHIS
090004  00024,1972,25,4,FR,Y,MEMPHIS
090004  00023,1972,25,3,FR,Y,MEMPHIS
090003  00014,1972,25,3,AV,Y,MEMPHIS
090004  00022,1972,25,3,PR,Y,MEMPHIS
090004  00021,1972,25,3,FR,Y,MEMPHIS
090002  00223,1973,25,3,FR,Y,MEMPHIS
090002  00222,1973,25,3,FR,Y,MEMPHIS
090004  00020,1972,25,3,FR,Y,MEMPHIS
090004  00018,1972,25,3,FR,Y,MEMPHIS
090002  00224,1973,25,3,FR,Y,MEMPHIS
090002  00225,1973,25,3,FR,Y,MEMPHIS
090002  00209,1973,25,3,AV,Y,MEMPHIS
090002  00202,1973,25,3,FR,Y,MEMPHIS
090002  00226,1973,25,3,FR,Y,MEMPHIS
090002  00203,1973,25,3,FR,Y,MEMPHIS
090002  00204,1973,25,3,FR,Y,MEMPHIS
090003  00013,1972,25,3,FR,Y,MEMPHIS
090002  00205,1973,25,3,FR,Y,MEMPHIS
090002  00206,1973,25,3,AV,Y,MEMPHIS
090002  00229,1990,25,3,FR,NA,MEMPHIS
090002  00208,1973,25,3,AV,Y,MEMPHIS
090002  00076,1973,20,3,PR,Y,MEMPHIS
090003  00012,1972,25,3,FR,Y,MEMPHIS
090002  00077,1973,20,3,FR,Y,MEMPHIS
090002  00078,1973,20,3,FR,Y,MEMPHIS
090002  00079,1973,25,3,FR,Y,MEMPHIS
090002  00080,1972,20,3,FR,Y,MEMPHIS
090008  00008,1973,25,3,FR,Y,MEMPHIS
090002  00083,1972,25,3,FR,Y,MEMPHIS
090002  00084,1972,20,3,FR,Y,MEMPHIS
090002  00085,1972,20,3,FR,Y,MEMPHIS
090002  00089,1973,25,3,PR,Y,MEMPHIS
090002  00090,1973,25,3,FR,Y,MEMPHIS
090003  00011,1972,25,3,FR,Y,MEMPHIS
090002  00091,1973,25,3,FR,Y,MEMPHIS
090008  00006,1973,25,3,FR,Y,MEMPHIS
090002  00092,1973,25,3,FR,Y,MEMPHIS
090002  00093,1973,25,3,FR,Y,MEMPHIS
090002  00094,1973,25,3,FR,Y,MEMPHIS
090008  00005,1973,25,3,FR,Y,MEMPHIS
090008  00004,1973,25,3,FR,Y,MEMPHIS
090002  00199,1985,25,3,AV,Y,MEMPHIS
090002  00231,1989,25,3,FR,Y,MEMPHIS
090002  00198,1990,25,3,FR,NA,MEMPHIS
090008  00003,1990,25,3,FR,NA,MEMPHIS
090002  00197,1990,25,3,FR,NA,MEMPHIS
090003  00010,1972,25,3,FR,Y,MEMPHIS
090008  00002,1990,25,3,FR,NA,MEMPHIS
090008  00001,1989,25,3,FR,Y,MEMPHIS
090002  00187,1974,25,4,FR,Y,MEMPHIS
090003  00009,1972,25,3,FR,Y,MEMPHIS
090002  00232,1989,25,3,FR,Y,MEMPHIS
090008  00011,1975,25,3,FR,Y,MEMPHIS
